,zurich,penumbra,compactness,x_ray_class,association
1982-12-13 08:02:00,D,K,O,M,associated
1982-12-13 19:52:00,D,A,O,M,associated
1982-12-15 16:20:00,D,A,O,X,associated
1982-12-15 17:03:00,D,A,O,M,associated
1982-12-15 20:45:00,D,K,I,M,associated
1982-12-15 21:53:00,D,K,I,M,associated
1982-12-16 10:07:00,D,A,I,M,associated
1982-12-16 14:18:00,D,K,O,M,associated
1982-12-16 14:53:00,D,K,I,X,associated
1982-12-16 19:24:00,D,H,I,M,associated
1982-12-17 10:02:00,D,K,O,M,associated
1982-12-17 21:44:00,D,A,I,M,associated
1982-12-17 22:17:00,D,H,I,M,associated
1982-12-18 15:04:00,E,A,I,X,associated
1982-12-19 15:41:00,D,H,O,M,associated
1982-12-19 22:28:00,D,H,I,M,associated
1982-12-28 15:51:00,D,S,O,M,associated
1983-02-05 09:28:00,D,K,I,M,associated
1983-02-05 13:03:00,D,K,I,M,associated
1983-03-10 08:34:00,E,A,O,M,associated
1983-03-17 20:11:00,E,H,O,M,associated
1983-04-27 13:50:00,C,S,O,M,associated
1983-04-28 10:48:00,E,A,O,M,associated
1983-05-01 13:16:00,E,H,O,M,associated
1983-05-01 22:58:00,E,S,O,M,associated
1983-05-07 07:43:00,D,A,O,M,associated
1983-05-07 22:16:00,D,K,I,X,associated
1983-05-09 14:07:00,D,S,I,M,associated
1983-05-09 23:02:00,D,K,I,X,associated
1983-05-10 11:06:00,E,A,O,M,associated
1983-05-11 13:22:00,E,K,C,M,associated
1983-05-11 14:20:00,D,K,I,M,associated
1983-05-11 22:07:00,E,K,C,M,associated
1983-05-12 00:33:00,C,R,O,M,associated
1983-05-12 02:37:00,D,K,O,M,associated
1983-05-12 13:34:00,E,K,I,M,associated
1983-05-15 08:40:00,E,K,I,X,associated
1983-05-31 14:59:00,E,K,O,M,associated
1983-06-01 13:55:00,E,H,O,M,associated
1983-06-02 15:20:00,F,K,I,M,associated
1983-06-04 02:15:00,F,K,I,M,associated
1983-06-04 19:50:00,F,K,I,M,associated
1983-06-05 15:39:00,F,K,C,M,associated
1983-06-05 16:58:00,F,K,C,M,associated
1983-06-06 03:02:00,F,K,I,M,associated
1983-06-06 05:16:00,F,K,I,M,associated
1983-06-06 07:46:00,F,K,C,M,associated
1983-06-06 13:31:00,F,K,I,X,associated
1983-06-06 17:37:00,F,K,C,M,associated
1983-06-07 20:39:00,F,K,I,M,associated
1983-06-08 11:02:00,F,K,I,M,associated
1983-06-09 21:58:00,E,K,I,M,associated
1983-06-16 15:13:00,C,R,I,M,associated
1983-06-17 00:57:00,C,R,O,M,associated
1983-06-26 04:36:00,E,A,O,M,associated
1983-06-28 02:48:00,E,K,O,M,associated
1983-06-29 23:42:00,E,K,O,M,associated
1983-07-01 13:32:00,E,A,O,M,associated
1983-07-10 18:39:00,E,K,O,M,associated
1983-07-23 09:09:00,E,K,O,M,associated
1983-07-27 23:28:00,D,K,O,M,associated
1983-07-30 14:37:00,D,R,O,M,associated
1983-07-30 14:38:00,D,R,O,M,associated
1983-08-01 02:56:00,F,K,I,M,associated
1983-08-03 14:40:00,F,K,I,M,associated
1983-08-04 03:32:00,F,H,I,M,associated
1983-08-05 12:44:00,F,H,I,M,associated
1983-08-07 07:35:00,D,A,O,M,associated
1983-08-07 21:53:00,F,H,O,M,associated
1983-08-08 03:00:00,E,A,O,M,associated
1983-08-08 04:10:00,E,A,O,M,associated
1983-08-14 16:29:00,E,A,I,M,associated
1983-08-17 02:32:00,D,A,O,M,associated
1983-08-21 17:53:00,D,S,O,M,associated
1983-08-23 23:22:00,C,S,O,M,associated
1983-10-02 06:12:00,E,H,O,M,associated
1983-10-05 14:58:00,E,A,I,M,associated
1983-10-14 08:52:00,D,K,O,M,associated
1983-10-16 20:04:00,D,K,I,M,associated
1983-12-06 07:26:00,D,A,O,M,associated
1983-12-06 15:30:00,D,S,O,M,associated
1983-12-07 00:53:00,D,K,I,M,associated
1984-01-20 13:32:00,E,S,O,M,associated
1984-01-26 00:38:00,D,K,O,M,associated
1984-01-26 16:22:00,D,S,O,M,associated
1984-01-27 06:55:00,E,K,I,M,associated
1984-01-31 12:56:00,C,A,O,M,associated
1984-02-03 20:41:00,A,X,X,M,associated
1984-02-04 17:58:00,C,K,O,M,associated
1984-02-08 15:54:00,D,A,O,M,associated
1984-02-08 15:54:00,B,X,O,M,associated
1984-02-11 22:49:00,E,K,I,M,associated
1984-02-12 14:49:00,E,K,I,M,associated
1984-02-18 02:03:00,E,K,I,M,associated
1984-02-18 16:08:00,E,K,I,M,associated
1984-02-19 02:25:00,E,K,O,M,associated
1984-02-22 01:32:00,F,K,C,M,associated
1984-02-25 03:11:00,D,K,O,M,associated
1984-02-26 12:18:00,E,K,O,M,associated
1984-02-27 21:09:00,D,K,C,M,associated
1984-03-13 07:27:00,D,S,O,M,associated
1984-03-17 09:22:00,C,K,O,M,associated
1984-03-27 21:50:00,F,K,I,M,associated
1984-03-29 00:55:00,D,S,O,M,associated
1984-03-29 01:59:00,F,K,I,M,associated
1984-03-29 17:51:00,C,R,O,M,associated
1984-03-30 04:50:00,D,S,O,M,associated
1984-03-30 08:54:00,D,S,O,M,associated
1984-04-07 02:47:00,E,K,O,M,associated
1984-04-17 14:23:00,C,A,O,M,associated
1984-04-20 19:40:00,E,A,O,M,associated
1984-04-20 23:04:00,E,A,O,M,associated
1984-04-20 23:29:00,E,H,O,M,associated
1984-04-21 13:04:00,C,A,O,M,associated
1984-04-21 14:20:00,D,S,O,M,associated
1984-04-21 20:09:00,E,H,O,X,associated
